Question,Answer
お弁当の配達はお願いできますか？,"はい。お弁当の配達は○個から承っております。ご予約は配送日の前日までにお願いいたします。
個数や配達エリアにつきましてはお気軽にお問い合わせくださいませ。
お弁当メニューの詳細はお弁当のページをご覧くださいませ。"
バースデー特典はありますか？,"ご予約時にお誕生日である旨をお申し付けいただきますと、次の特典をご用意させていただきます。
・お誕生日の方のデザートをグレードアップさせていただきます。
・ご希望のお客様には記念写真をお撮りさせていただきます。（カメラはご持参ください）
なお、花束やケーキなど（要予約、有料）をこちらでご用意させていただくことやお持ち込みいただくこともできますので、お気軽にご相談くださいませ。
"
レディースデーはありますか？,"毎週火曜日がレディースデーです。
レディースデーには女性のお客様のみ、最初の1杯が無料となっております。ボトルメニュー以外からお好きなお飲物をお選びいただけます。
また、食後のプチデザートも無料でご提供しておりますので、お気軽にお声掛けくださいませ。"
メール会員になると何か特典がありますか？,"メール会員の皆様には、お得な割引クーポンやイベント情報、新メニューのお知らせ、お誕生日・記念日のプレゼント情報等をお知らせしております。
特にお誕生日や記念日の特別メニュー＆プレゼントは他店では真似できないような豪華でお得なプランとなっておりますので、是非ご登録の上、そのすごさをご体感ください！"
ポイントサービスは行っていますか？,"会員登録をしていただいたお客様を対象としてポイントサービスを行っております。会員証はランクアップメンバーズカードとなっており、ランクアップしていくと特典がいっぱいです。お得な会員登録をおすすめいたします。
当店のサイト・Twitter・ブログ・ニュースレターでお得な情報も随時発信しておりますので、是非こちらもご覧くださいませ。"
ペットを連れて利用できますか？,介助犬はご同伴いただけますが、それ以外のペットは基本的にご遠慮いただいております。 飲食店という性質上、何卒ご理解くださいませ。
子供用の食事を用意してもらえますか？,"お子様向けメニューもご用意しておりますが、お子様のお好きなもの嫌いなものをお伺いしてのメニュー構成や、アレルギーが心配なお子様向けに特別メニューをご用意することも可能です。
ご予約の際にお気軽にご相談くださいませ。
なお、離乳食のご用意はいたしかねますので、離乳食はご持参いただけますようよろしくお願いいたします。
"
子供を連れて行っても大丈夫ですか？,"はい、お子様連れのお客様も大歓迎です。
ご家族でいらっしゃるお客様やママ友同士のお客様もたくさんいらっしゃいます。チャイルドチェアや絵本、おもちゃなどもご用意しておりますので、どうぞお気軽に皆様でお越しくださいませ。"
バリアフリーに対応してますか？,"当店では、入口のスロープや車椅子対応トイレの設置など、バリアフリー設備の導入を進めております。
また、介助犬の入店も可能となっており、点字メニューのご用意もございます。
まだまだ行き届かない点もあるかと存じますが、もしご利用になられてお気づきの点やご希望などがございましたら、今後の改善の参考とさせていただきますので、お気軽におっしゃっていただけましたら幸いです。"
タバコは吸えますか？,"当店では特に禁煙をお願いしてはおりませんが、混み合っている時間帯などに近くのお席のお客様からおタバコが苦手とのお申し出などがございましたら、ご遠慮いただくようお声を掛けさせていただく場合がございます。
その際は誠に申し訳ございませんが、店舗入り口に設置しております喫煙所をご利用くださいますようお願いいたします。
皆様に楽しくお食事をお楽しみいただけるよう、何卒ご協力をお願いいたします。"
